Barangay,Year,Month,Cases
Bulihan,2017,October,7
Bungahan,2017,October,0
Caingin,2017,October,2
Calero,2017,October,1
Caliligawan,2017,October,0
Canalate,2017,October,1
Caniogan,2017,October,1
Catmon,2017,October,0
Cofradia,2017,October,0
Dakila,2017,October,0
Guinhawa,2017,October,0
Liang,2017,October,0
Ligas,2017,October,0
Longos,2017,October,6
Look 1St,2017,October,0
Look 2Nd,2017,October,0
Lugam,2017,October,2
Mabolo,2017,October,1
Mambog,2017,October,0
Masile,2017,October,1
Matimbo,2017,October,1
Mojon,2017,October,6
Namayan,2017,October,1
Niugan,2017,October,0
Pamarawan,2017,October,0
Panasahan,2017,October,0
Pinagbakahan,2017,October,0
San Agustin,2017,October,0
San Gabriel,2017,October,0
San Juan,2017,October,0
San Pablo,2017,October,0
San Vicente,2017,October,2
Santiago,2017,October,0
Santisima Trinidad,2017,October,1
Santo Cristo,2017,October,0
Santo Niño,2017,October,0
Santo Rosario,2017,October,0
Santor,2017,October,1
Sumapang Bata,2017,October,2
Sumapang Matanda,2017,October,3
Taal,2017,October,0
Tikay,2017,October,1
Anilao,2017,November,1
Atlag,2017,November,1
Babatnin,2017,November,0
Bagna,2017,November,0
Bagong Bayan,2017,November,0
Balayong,2017,November,0
Balite,2017,November,0
Bangkal,2017,November,5
Barihan,2017,November,0
Bulihan,2017,November,2
Bungahan,2017,November,0
Caingin,2017,November,1
Calero,2017,November,0
Caliligawan,2017,November,0
Canalate,2017,November,0
Caniogan,2017,November,1
Catmon,2017,November,0
Cofradia,2017,November,0
Dakila,2017,November,1
Guinhawa,2017,November,1
Liang,2017,November,0
Ligas,2017,November,2
Longos,2017,November,1
Look 1St,2017,November,1
Look 2Nd,2017,November,1
Lugam,2017,November,0
Mabolo,2017,November,0
Mambog,2017,November,0
Masile,2017,November,0
Matimbo,2017,November,0
Mojon,2017,November,5
Namayan,2017,November,0
Niugan,2017,November,1
Pamarawan,2017,November,0
Panasahan,2017,November,0
Pinagbakahan,2017,November,1
San Agustin,2017,November,0
San Gabriel,2017,November,0
San Juan,2017,November,0
San Pablo,2017,November,1
San Vicente,2017,November,0
Santiago,2017,November,0
Santisima Trinidad,2017,November,1
Santo Cristo,2017,November,0
Santo Niño,2017,November,0
Santo Rosario,2017,November,2
Santor,2017,November,1
Sumapang Bata,2017,November,2
Sumapang Matanda,2017,November,1
Taal,2017,November,0
Tikay,2017,November,1
Anilao,2017,December,1
Atlag,2017,December,0
Babatnin,2017,December,0
Bagna,2017,December,0
Bagong Bayan,2017,December,0
Balayong,2017,December,1
Balite,2017,December,0
Bangkal,2017,December,8
Barihan,2017,December,1
Bulihan,2017,December,3
Bungahan,2017,December,0
Caingin,2017,December,1
Calero,2017,December,0
Caliligawan,2017,December,0
Canalate,2017,December,1
Caniogan,2017,December,3
Catmon,2017,December,1
Cofradia,2017,December,0
Dakila,2017,December,0
Guinhawa,2017,December,0
Liang,2017,December,0
Ligas,2017,December,0
Longos,2017,December,3
Look 1St,2017,December,0
Look 2Nd,2017,December,0
Lugam,2017,December,0
Mabolo,2017,December,1
Mambog,2017,December,0
Masile,2017,December,0
Matimbo,2017,December,0
Mojon,2017,December,4
Namayan,2017,December,0
Niugan,2017,December,0
Pamarawan,2017,December,0
Panasahan,2017,December,0
Pinagbakahan,2017,December,0
San Agustin,2017,December,1
San Gabriel,2017,December,0
San Juan,2017,December,0
San Pablo,2017,December,0
San Vicente,2017,December,1
Santiago,2017,December,0
Santisima Trinidad,2017,December,1
Santo Cristo,2017,December,0
Santo Niño,2017,December,0
Santo Rosario,2017,December,1
Santor,2017,December,0
Sumapang Bata,2017,December,0
Sumapang Matanda,2017,December,1
Taal,2017,December,0
Tikay,2017,December,1
Anilao,2018,January,0
Atlag,2018,January,0
Babatnin,2018,January,1
Bagna,2018,January,0
Bagong Bayan,2018,January,0
Balayong,2018,January,0
Balite,2018,January,0
Bangkal,2018,January,2
Barihan,2018,January,0
Bulihan,2018,January,2
Bungahan,2018,January,0
Caingin,2018,January,0
Calero,2018,January,0
Caliligawan,2018,January,0
Canalate,2018,January,0
Caniogan,2018,January,1
Catmon,2018,January,0
Cofradia,2018,January,1
Dakila,2018,January,1
Guinhawa,2018,January,0
Liang,2018,January,0
Ligas,2018,January,1
Longos,2018,January,3
Look 1St,2018,January,0
Look 2Nd,2018,January,1
Lugam,2018,January,0
Mabolo,2018,January,0
Mambog,2018,January,3
Masile,2018,January,0
Matimbo,2018,January,1
Mojon,2018,January,2
Namayan,2018,January,0
Niugan,2018,January,0
Pamarawan,2018,January,0
Panasahan,2018,January,2
Pinagbakahan,2018,January,0
San Agustin,2018,January,0
San Gabriel,2018,January,0
San Juan,2018,January,2
San Pablo,2018,January,1
San Vicente,2018,January,0
Santiago,2018,January,0
Santisima Trinidad,2018,January,0
Santo Cristo,2018,January,0
Santo Niño,2018,January,0
Santo Rosario,2018,January,0
Santor,2018,January,0
Sumapang Bata,2018,January,0
Sumapang Matanda,2018,January,2
Taal,2018,January,0
Tikay,2018,January,2
Anilao,2018,February,0
Atlag,2018,February,0
Babatnin,2018,February,8
Bagna,2018,February,0
Bagong Bayan,2018,February,0
Balayong,2018,February,1
Balite,2018,February,0
Bangkal,2018,February,1
Barihan,2018,February,0
Bulihan,2018,February,4
Bungahan,2018,February,1
Caingin,2018,February,2
Calero,2018,February,0
Caliligawan,2018,February,0
Canalate,2018,February,2
Caniogan,2018,February,0
Catmon,2018,February,1
Cofradia,2018,February,1
Dakila,2018,February,1
Guinhawa,2018,February,0
Liang,2018,February,0
Ligas,2018,February,0
Longos,2018,February,1
Look 1St,2018,February,0
Look 2Nd,2018,February,0
Lugam,2018,February,0
Mabolo,2018,February,1
Mambog,2018,February,1
Masile,2018,February,1
Matimbo,2018,February,1
Mojon,2018,February,2
Namayan,2018,February,0
Niugan,2018,February,1
Pamarawan,2018,February,0
Panasahan,2018,February,2
Pinagbakahan,2018,February,0
San Agustin,2018,February,0
San Gabriel,2018,February,0
San Juan,2018,February,0
San Pablo,2018,February,0
San Vicente,2018,February,0
Santiago,2018,February,0
Santisima Trinidad,2018,February,0
Santo Cristo,2018,February,0
Santo Niño,2018,February,0
Santo Rosario,2018,February,0
Santor,2018,February,0
Sumapang Bata,2018,February,0
Sumapang Matanda,2018,February,0
Taal,2018,February,0
Tikay,2018,February,0
Anilao,2018,March,0
Atlag,2018,March,1
Babatnin,2018,March,2
Bagna,2018,March,0
Bagong Bayan,2018,March,0
Balayong,2018,March,0
Balite,2018,March,0
Bangkal,2018,March,0
Barihan,2018,March,0
Bulihan,2018,March,1
Bungahan,2018,March,0
Caingin,2018,March,0
Calero,2018,March,0
Caliligawan,2018,March,0
Canalate,2018,March,0
Caniogan,2018,March,0
Catmon,2018,March,0
Cofradia,2018,March,0
Dakila,2018,March,0
Guinhawa,2018,March,0
Liang,2018,March,0
Ligas,2018,March,0
Longos,2018,March,1
Look 1St,2018,March,0
Look 2Nd,2018,March,0
Lugam,2018,March,0
Mabolo,2018,March,1
Mambog,2018,March,0
Masile,2018,March,0
Matimbo,2018,March,1
Mojon,2018,March,2
Namayan,2018,March,0
Niugan,2018,March,4
Pamarawan,2018,March,0
Panasahan,2018,March,2
Pinagbakahan,2018,March,1
San Agustin,2018,March,0
San Gabriel,2018,March,0
San Juan,2018,March,1
San Pablo,2018,March,0
San Vicente,2018,March,0
Santiago,2018,March,0
Santisima Trinidad,2018,March,0
Santo Cristo,2018,March,0
Santo Niño,2018,March,0
Santo Rosario,2018,March,0
Santor,2018,March,2
Sumapang Bata,2018,March,0
Sumapang Matanda,2018,March,0
Taal,2018,March,0
Tikay,2018,March,0
Anilao,2018,April,0
Atlag,2018,April,0
Babatnin,2018,April,0
Bagna,2018,April,0
Bagong Bayan,2018,April,0
Balayong,2018,April,0
Balite,2018,April,0
Bangkal,2018,April,0
Barihan,2018,April,0
Bulihan,2018,April,0
Bungahan,2018,April,0
Caingin,2018,April,0
Calero,2018,April,0
Caliligawan,2018,April,0
Canalate,2018,April,0
Caniogan,2018,April,0
Catmon,2018,April,1
Cofradia,2018,April,0
Dakila,2018,April,0
Guinhawa,2018,April,0
Liang,2018,April,0
Ligas,2018,April,0
Longos,2018,April,1
Look 1St,2018,April,0
Look 2Nd,2018,April,0
Lugam,2018,April,0
Mabolo,2018,April,0
Mambog,2018,April,0
Masile,2018,April,0
Matimbo,2018,April,0
Mojon,2018,April,2
Namayan,2018,April,0
Niugan,2018,April,0
Pamarawan,2018,April,0
Panasahan,2018,April,0
Pinagbakahan,2018,April,0
San Agustin,2018,April,0
San Gabriel,2018,April,0
San Juan,2018,April,0
San Pablo,2018,April,0
San Vicente,2018,April,0
Santiago,2018,April,0
Santisima Trinidad,2018,April,0
Santo Cristo,2018,April,0
Santo Niño,2018,April,0
Santo Rosario,2018,April,0
Santor,2018,April,0
Sumapang Bata,2018,April,0
Sumapang Matanda,2018,April,0
Taal,2018,April,0
Tikay,2018,April,0
Anilao,2018,May,0
Atlag,2018,May,0
Babatnin,2018,May,0
Bagna,2018,May,0
Bagong Bayan,2018,May,0
Balayong,2018,May,0
Balite,2018,May,0
Bangkal,2018,May,0
Barihan,2018,May,0
Bulihan,2018,May,1
Bungahan,2018,May,0
Caingin,2018,May,0
Calero,2018,May,0
Caliligawan,2018,May,0
Canalate,2018,May,0
Caniogan,2018,May,0
Catmon,2018,May,0
Cofradia,2018,May,0
Dakila,2018,May,0
Guinhawa,2018,May,0
Liang,2018,May,0
Ligas,2018,May,0
Longos,2018,May,0
Look 1St,2018,May,0
Look 2Nd,2018,May,1
Lugam,2018,May,0
Mabolo,2018,May,0
Mambog,2018,May,0
Masile,2018,May,0
Matimbo,2018,May,0
Mojon,2018,May,1
Namayan,2018,May,0
Niugan,2018,May,0
Pamarawan,2018,May,0
Panasahan,2018,May,0
Pinagbakahan,2018,May,0
San Agustin,2018,May,0
San Gabriel,2018,May,0
San Juan,2018,May,0
San Pablo,2018,May,0
San Vicente,2018,May,0
Santiago,2018,May,0
Santisima Trinidad,2018,May,0
Santo Cristo,2018,May,0
Santo Niño,2018,May,0
Santo Rosario,2018,May,0
Santor,2018,May,0
Sumapang Bata,2018,May,0
Sumapang Matanda,2018,May,0
Taal,2018,May,0
Tikay,2018,May,0
Anilao,2018,June,0
Atlag,2018,June,0
Babatnin,2018,June,0
Bagna,2018,June,0
Bagong Bayan,2018,June,0
Balayong,2018,June,0
Balite,2018,June,0
Bangkal,2018,June,0
Barihan,2018,June,0
Bulihan,2018,June,0
Bungahan,2018,June,0
Caingin,2018,June,0
Calero,2018,June,0
Caliligawan,2018,June,0
Canalate,2018,June,0
Caniogan,2018,June,0
Catmon,2018,June,0
Cofradia,2018,June,0
Dakila,2018,June,0
Guinhawa,2018,June,0
Liang,2018,June,0
Ligas,2018,June,0
Longos,2018,June,0
Look 1St,2018,June,0
Look 2Nd,2018,June,0
Lugam,2018,June,0
Mabolo,2018,June,0
Mambog,2018,June,0
Masile,2018,June,0
Matimbo,2018,June,0
Mojon,2018,June,0
Namayan,2018,June,0
Niugan,2018,June,0
Pamarawan,2018,June,0
Panasahan,2018,June,0
Pinagbakahan,2018,June,1
San Agustin,2018,June,0
San Gabriel,2018,June,0
San Juan,2018,June,0
San Pablo,2018,June,0
San Vicente,2018,June,0
Santiago,2018,June,0
Santisima Trinidad,2018,June,0
Santo Cristo,2018,June,0
Santo Niño,2018,June,0
Santo Rosario,2018,June,0
Santor,2018,June,0
Sumapang Bata,2018,June,0
Sumapang Matanda,2018,June,0
Taal,2018,June,0
Tikay,2018,June,0
Anilao,2018,July,0
Atlag,2018,July,0
Babatnin,2018,July,0
Bagna,2018,July,0
Bagong Bayan,2018,July,0
Balayong,2018,July,1
Balite,2018,July,0
Bangkal,2018,July,0
Barihan,2018,July,0
Bulihan,2018,July,0
Bungahan,2018,July,0
Caingin,2018,July,0
Calero,2018,July,0
Caliligawan,2018,July,0
Canalate,2018,July,0
Caniogan,2018,July,1
Catmon,2018,July,0
Cofradia,2018,July,0
Dakila,2018,July,0
Guinhawa,2018,July,0
Liang,2018,July,0
Ligas,2018,July,0
Longos,2018,July,4
Look 1St,2018,July,0
Look 2Nd,2018,July,0
Lugam,2018,July,1
Mabolo,2018,July,1
Mambog,2018,July,0
Masile,2018,July,0
Matimbo,2018,July,0
Mojon,2018,July,1
Namayan,2018,July,0
Niugan,2018,July,0
Pamarawan,2018,July,0
Panasahan,2018,July,0
Pinagbakahan,2018,July,1
San Agustin,2018,July,0
San Gabriel,2018,July,0
San Juan,2018,July,0
San Pablo,2018,July,0
San Vicente,2018,July,0
Santiago,2018,July,0
Santisima Trinidad,2018,July,0
Santo Cristo,2018,July,1
Santo Niño,2018,July,0
Santo Rosario,2018,July,0
Santor,2018,July,0
Sumapang Bata,2018,July,0
Sumapang Matanda,2018,July,0
Taal,2018,July,0
Tikay,2018,July,1
Anilao,2018,August,0
Atlag,2018,August,2
Babatnin,2018,August,0
Bagna,2018,August,0
Bagong Bayan,2018,August,0
Balayong,2018,August,0
Balite,2018,August,0
Bangkal,2018,August,0
Barihan,2018,August,3
Bulihan,2018,August,0
Bungahan,2018,August,0
Caingin,2018,August,0
Calero,2018,August,0
Caliligawan,2018,August,0
Canalate,2018,August,0
Caniogan,2018,August,0
Catmon,2018,August,0
Cofradia,2018,August,1
Dakila,2018,August,0
Guinhawa,2018,August,0
Liang,2018,August,0
Ligas,2018,August,0
Longos,2018,August,0
Look 1St,2018,August,2
Look 2Nd,2018,August,1
Lugam,2018,August,0
Mabolo,2018,August,0
Mambog,2018,August,0
Masile,2018,August,0
Matimbo,2018,August,0
Mojon,2018,August,4
Namayan,2018,August,0
Niugan,2018,August,0
Pamarawan,2018,August,0
Panasahan,2018,August,0
Pinagbakahan,2018,August,3
San Agustin,2018,August,0
San Gabriel,2018,August,1
San Juan,2018,August,0
San Pablo,2018,August,0
San Vicente,2018,August,0
Santiago,2018,August,0
Santisima Trinidad,2018,August,1
Santo Cristo,2018,August,1
Santo Niño,2018,August,0
Santo Rosario,2018,August,0
Santor,2018,August,0
Sumapang Bata,2018,August,0
Sumapang Matanda,2018,August,1
Taal,2018,August,0
Tikay,2018,August,2
Anilao,2018,September,0
Atlag,2018,September,2
Babatnin,2018,September,0
Bagna,2018,September,0
Bagong Bayan,2018,September,0
Balayong,2018,September,0
Balite,2018,September,0
Bangkal,2018,September,0
Barihan,2018,September,1
Bulihan,2018,September,3
Bungahan,2018,September,0
Caingin,2018,September,1
Calero,2018,September,0
Caliligawan,2018,September,0
Canalate,2018,September,0
Caniogan,2018,September,1
Catmon,2018,September,0
Cofradia,2018,September,0
Dakila,2018,September,0
Guinhawa,2018,September,0
Liang,2018,September,0
Ligas,2018,September,0
Longos,2018,September,2
Look 1St,2018,September,0
Look 2Nd,2018,September,0
Lugam,2018,September,0
Mabolo,2018,September,0
Mambog,2018,September,0
Masile,2018,September,0
Matimbo,2018,September,6
Mojon,2018,September,3
Namayan,2018,September,0
Niugan,2018,September,0
Pamarawan,2018,September,0
Panasahan,2018,September,0
Pinagbakahan,2018,September,1
San Agustin,2018,September,0
San Gabriel,2018,September,0
San Juan,2018,September,0
San Pablo,2018,September,1
San Vicente,2018,September,0
Santiago,2018,September,0
Santisima Trinidad,2018,September,0
Santo Cristo,2018,September,0
Santo Niño,2018,September,0
Santo Rosario,2018,September,0
Santor,2018,September,0
Sumapang Bata,2018,September,0
Sumapang Matanda,2018,September,0
Taal,2018,September,0
Tikay,2018,September,3
Anilao,2018,October,0
Atlag,2018,October,4
Babatnin,2018,October,1
Bagna,2018,October,0
Bagong Bayan,2018,October,1
Balayong,2018,October,0
Balite,2018,October,1
Bangkal,2018,October,3
Barihan,2018,October,0
Bulihan,2018,October,6
Bungahan,2018,October,0
Caingin,2018,October,2
Calero,2018,October,0
Caliligawan,2018,October,0
Canalate,2018,October,1
Caniogan,2018,October,1
Catmon,2018,October,2
Cofradia,2018,October,0
Dakila,2018,October,0
Guinhawa,2018,October,0
Liang,2018,October,0
Ligas,2018,October,1
Longos,2018,October,3
Look 1St,2018,October,3
Look 2Nd,2018,October,0
Lugam,2018,October,0
Mabolo,2018,October,0
Mambog,2018,October,0
Masile,2018,October,0
Matimbo,2018,October,3
Mojon,2018,October,1
Namayan,2018,October,0
Niugan,2018,October,0
Pamarawan,2018,October,1
Panasahan,2018,October,1
Pinagbakahan,2018,October,1
San Agustin,2018,October,1
San Gabriel,2018,October,1
San Juan,2018,October,3
San Pablo,2018,October,0
San Vicente,2018,October,0
Santiago,2018,October,0
Santisima Trinidad,2018,October,1
Santo Cristo,2018,October,1
Santo Niño,2018,October,0
Santo Rosario,2018,October,1
Santor,2018,October,1
Sumapang Bata,2018,October,0
Sumapang Matanda,2018,October,2
Taal,2018,October,0
Tikay,2018,October,0
Anilao,2018,November,0
Atlag,2018,November,0
Babatnin,2018,November,0
Bagna,2018,November,1
Bagong Bayan,2018,November,1
Balayong,2018,November,0
Balite,2018,November,1
Bangkal,2018,November,0
Barihan,2018,November,0
Bulihan,2018,November,2
Bungahan,2018,November,0
Caingin,2018,November,0
Calero,2018,November,0
Caliligawan,2018,November,0
Canalate,2018,November,1
Caniogan,2018,November,2
Catmon,2018,November,0
Cofradia,2018,November,3
Dakila,2018,November,0
Guinhawa,2018,November,0
Liang,2018,November,0
Ligas,2018,November,0
Longos,2018,November,1
Look 1St,2018,November,1
Look 2Nd,2018,November,0
Lugam,2018,November,1
Mabolo,2018,November,1
Mambog,2018,November,0
Masile,2018,November,0
Matimbo,2018,November,2
Mojon,2018,November,3
Namayan,2018,November,0
Niugan,2018,November,0
Pamarawan,2018,November,0
Panasahan,2018,November,0
Pinagbakahan,2018,November,1
San Agustin,2018,November,0
San Gabriel,2018,November,0
San Juan,2018,November,0
San Pablo,2018,November,0
San Vicente,2018,November,0
Santiago,2018,November,0
Santisima Trinidad,2018,November,0
Santo Cristo,2018,November,0
Santo Niño,2018,November,0
Santo Rosario,2018,November,0
Santor,2018,November,0
Sumapang Bata,2018,November,1
Sumapang Matanda,2018,November,1
Taal,2018,November,0
Tikay,2018,November,0
Anilao,2018,December,0
Atlag,2018,December,0
Babatnin,2018,December,0
Bagna,2018,December,0
Bagong Bayan,2018,December,0
Balayong,2018,December,0
Balite,2018,December,0
Bangkal,2018,December,1
Barihan,2018,December,0
Bulihan,2018,December,2
Bungahan,2018,December,1
Caingin,2018,December,0
Calero,2018,December,0
Caliligawan,2018,December,0
Canalate,2018,December,1
Caniogan,2018,December,0
Catmon,2018,December,0
Cofradia,2018,December,0
Dakila,2018,December,1
Guinhawa,2018,December,0
Liang,2018,December,0
Ligas,2018,December,0
Longos,2018,December,1
Look 1St,2018,December,1
Look 2Nd,2018,December,1
Lugam,2018,December,0
Mabolo,2018,December,1
Mambog,2018,December,0
Masile,2018,December,0
Matimbo,2018,December,0
Mojon,2018,December,2
Namayan,2018,December,0
Niugan,2018,December,0
Pamarawan,2018,December,0
Panasahan,2018,December,0
Pinagbakahan,2018,December,1
San Agustin,2018,December,2
San Gabriel,2018,December,1
San Juan,2018,December,1
San Pablo,2018,December,0
San Vicente,2018,December,0
Santiago,2018,December,0
Santisima Trinidad,2018,December,0
Santo Cristo,2018,December,0
Santo Niño,2018,December,0
Santo Rosario,2018,December,0
Santor,2018,December,2
Sumapang Bata,2018,December,0
Sumapang Matanda,2018,December,1
Taal,2018,December,0
Tikay,2018,December,1
Anilao,2019,January,0
Atlag,2019,January,0
Babatnin,2019,January,0
Bagna,2019,January,2
Bagong Bayan,2019,January,0
Balayong,2019,January,0
Balite,2019,January,0
Bangkal,2019,January,1
Barihan,2019,January,2
Bulihan,2019,January,1
Bungahan,2019,January,1
Caingin,2019,January,1
Calero,2019,January,0
Caliligawan,2019,January,0
Canalate,2019,January,0
Caniogan,2019,January,1
Catmon,2019,January,0
Cofradia,2019,January,1
Dakila,2019,January,2
Guinhawa,2019,January,0
Liang,2019,January,0
Ligas,2019,January,0
Longos,2019,January,3
Look 1St,2019,January,1
Look 2Nd,2019,January,3
Lugam,2019,January,0
Mabolo,2019,January,1
Mambog,2019,January,1
Masile,2019,January,0
Matimbo,2019,January,2
Mojon,2019,January,2
Namayan,2019,January,0
Niugan,2019,January,0
Pamarawan,2019,January,0
Panasahan,2019,January,1
Pinagbakahan,2019,January,0
San Agustin,2019,January,0
San Gabriel,2019,January,0
San Juan,2019,January,0
San Pablo,2019,January,1
San Vicente,2019,January,2
Santiago,2019,January,0
Santisima Trinidad,2019,January,1
Santo Cristo,2019,January,2
Santo Niño,2019,January,0
Santo Rosario,2019,January,0
Santor,2019,January,1
Sumapang Bata,2019,January,1
Sumapang Matanda,2019,January,3
Taal,2019,January,0
Tikay,2019,January,3
Anilao,2019,February,0
Atlag,2019,February,0
Babatnin,2019,February,0
Bagna,2019,February,0
Bagong Bayan,2019,February,1
Balayong,2019,February,1
Balite,2019,February,0
Bangkal,2019,February,0
Barihan,2019,February,0
Bulihan,2019,February,0
Bungahan,2019,February,1
Caingin,2019,February,1
Calero,2019,February,0
Caliligawan,2019,February,0
Canalate,2019,February,0
Caniogan,2019,February,0
Catmon,2019,February,0
Cofradia,2019,February,1
Dakila,2019,February,0
Guinhawa,2019,February,0
Liang,2019,February,0
Ligas,2019,February,1
Longos,2019,February,1
Look 1St,2019,February,0
Look 2Nd,2019,February,0
Lugam,2019,February,0
Mabolo,2019,February,0
Mambog,2019,February,0
Masile,2019,February,2
Matimbo,2019,February,1
Mojon,2019,February,2
Namayan,2019,February,0
Niugan,2019,February,0
Pamarawan,2019,February,0
Panasahan,2019,February,2
Pinagbakahan,2019,February,1
San Agustin,2019,February,0
San Gabriel,2019,February,0
San Juan,2019,February,0
San Pablo,2019,February,0
San Vicente,2019,February,1
Santiago,2019,February,1
Santisima Trinidad,2019,February,0
Santo Cristo,2019,February,1
Santo Niño,2019,February,0
Santo Rosario,2019,February,0
Santor,2019,February,0
Sumapang Bata,2019,February,0
Sumapang Matanda,2019,February,4
Taal,2019,February,0
Tikay,2019,February,2
Anilao,2019,March,2
Atlag,2019,March,0
Babatnin,2019,March,0
Bagna,2019,March,0
Bagong Bayan,2019,March,0
Balayong,2019,March,0
Balite,2019,March,1
Bangkal,2019,March,1
Barihan,2019,March,0
Bulihan,2019,March,0
Bungahan,2019,March,0
Caingin,2019,March,1
Calero,2019,March,0
Caliligawan,2019,March,0
Canalate,2019,March,1
Caniogan,2019,March,0
Catmon,2019,March,1
Cofradia,2019,March,0
Dakila,2019,March,0
Guinhawa,2019,March,0
Liang,2019,March,0
Ligas,2019,March,0
Longos,2019,March,0
Look 1St,2019,March,1
Look 2Nd,2019,March,0
Lugam,2019,March,0
Mabolo,2019,March,0
Mambog,2019,March,0
Masile,2019,March,2
Matimbo,2019,March,0
Mojon,2019,March,1
Namayan,2019,March,0
Niugan,2019,March,0
Pamarawan,2019,March,0
Panasahan,2019,March,0
Pinagbakahan,2019,March,0
San Agustin,2019,March,0
San Gabriel,2019,March,0
San Juan,2019,March,0
San Pablo,2019,March,0
San Vicente,2019,March,0
Santiago,2019,March,0
Santisima Trinidad,2019,March,0
Santo Cristo,2019,March,0
Santo Niño,2019,March,0
Santo Rosario,2019,March,0
Santor,2019,March,0
Sumapang Bata,2019,March,0
Sumapang Matanda,2019,March,8
Taal,2019,March,0
Tikay,2019,March,2
Anilao,2019,April,0
Atlag,2019,April,0
Babatnin,2019,April,0
Bagna,2019,April,0
Bagong Bayan,2019,April,0
Balayong,2019,April,0
Balite,2019,April,0
Bangkal,2019,April,0
Barihan,2019,April,0
Bulihan,2019,April,2
Bungahan,2019,April,0
Caingin,2019,April,0
Calero,2019,April,0
Caliligawan,2019,April,0
Canalate,2019,April,0
Caniogan,2019,April,0
Catmon,2019,April,0
Cofradia,2019,April,0
Dakila,2019,April,0
Guinhawa,2019,April,0
Liang,2019,April,0
Ligas,2019,April,0
Longos,2019,April,1
Look 1St,2019,April,0
Look 2Nd,2019,April,0
Lugam,2019,April,0
Mabolo,2019,April,0
Mambog,2019,April,0
Masile,2019,April,0
Matimbo,2019,April,0
Mojon,2019,April,1
Namayan,2019,April,0
Niugan,2019,April,0
Pamarawan,2019,April,0
Panasahan,2019,April,0
Pinagbakahan,2019,April,0
San Agustin,2019,April,0
San Gabriel,2019,April,0
San Juan,2019,April,1
San Pablo,2019,April,1
San Vicente,2019,April,0
Santiago,2019,April,0
Santisima Trinidad,2019,April,0
Santo Cristo,2019,April,0
Santo Niño,2019,April,0
Santo Rosario,2019,April,0
Santor,2019,April,1
Sumapang Bata,2019,April,0
Sumapang Matanda,2019,April,4
Taal,2019,April,0
Tikay,2019,April,1
Anilao,2019,May,0
Atlag,2019,May,0
Babatnin,2019,May,0
Bagna,2019,May,0
Bagong Bayan,2019,May,0
Balayong,2019,May,0
Balite,2019,May,0
Bangkal,2019,May,0
Barihan,2019,May,2
Bulihan,2019,May,0
Bungahan,2019,May,0
Caingin,2019,May,0
Calero,2019,May,0
Caliligawan,2019,May,0
Canalate,2019,May,0
Caniogan,2019,May,0
Catmon,2019,May,0
Cofradia,2019,May,0
Dakila,2019,May,1
Guinhawa,2019,May,0
Liang,2019,May,0
Ligas,2019,May,0
Longos,2019,May,1
Look 1St,2019,May,1
Look 2Nd,2019,May,0
Lugam,2019,May,0
Mabolo,2019,May,1
Mambog,2019,May,0
Masile,2019,May,1
Matimbo,2019,May,0
Mojon,2019,May,0
Namayan,2019,May,0
Niugan,2019,May,0
Pamarawan,2019,May,0
Panasahan,2019,May,0
Pinagbakahan,2019,May,0
San Agustin,2019,May,0
San Gabriel,2019,May,0
San Juan,2019,May,0
San Pablo,2019,May,0
San Vicente,2019,May,0
Santiago,2019,May,0
Santisima Trinidad,2019,May,0
Santo Cristo,2019,May,0
Santo Niño,2019,May,0
Santo Rosario,2019,May,0
Santor,2019,May,0
Sumapang Bata,2019,May,0
Sumapang Matanda,2019,May,0
Taal,2019,May,0
Tikay,2019,May,0
Anilao,2019,June,0
Atlag,2019,June,0
Babatnin,2019,June,0
Bagna,2019,June,0
Bagong Bayan,2019,June,0
Balayong,2019,June,0
Balite,2019,June,0
Bangkal,2019,June,0
Barihan,2019,June,1
Bulihan,2019,June,1
Bungahan,2019,June,0
Caingin,2019,June,0
Calero,2019,June,0
Caliligawan,2019,June,0
Canalate,2019,June,0
Caniogan,2019,June,0
Catmon,2019,June,0
Cofradia,2019,June,0
Dakila,2019,June,0
Guinhawa,2019,June,0
Liang,2019,June,0
Ligas,2019,June,0
Longos,2019,June,0
Look 1St,2019,June,1
Look 2Nd,2019,June,0
Lugam,2019,June,0
Mabolo,2019,June,1
Mambog,2019,June,0
Masile,2019,June,0
Matimbo,2019,June,0
Mojon,2019,June,2
Namayan,2019,June,0
Niugan,2019,June,0
Pamarawan,2019,June,0
Panasahan,2019,June,0
Pinagbakahan,2019,June,0
San Agustin,2019,June,0
San Gabriel,2019,June,0
San Juan,2019,June,0
San Pablo,2019,June,0
San Vicente,2019,June,0
Santiago,2019,June,0
Santisima Trinidad,2019,June,0
Santo Cristo,2019,June,0
Santo Niño,2019,June,0
Santo Rosario,2019,June,0
Santor,2019,June,0
Sumapang Bata,2019,June,0
Sumapang Matanda,2019,June,0
Taal,2019,June,0
Tikay,2019,June,1
Anilao,2019,July,0
Atlag,2019,July,0
Babatnin,2019,July,0
Bagna,2019,July,0
Bagong Bayan,2019,July,0
Balayong,2019,July,1
Balite,2019,July,1
Bangkal,2019,July,0
Barihan,2019,July,2
Bulihan,2019,July,2
Bungahan,2019,July,1
Caingin,2019,July,0
Calero,2019,July,0
Caliligawan,2019,July,0
Canalate,2019,July,1
Caniogan,2019,July,0
Catmon,2019,July,0
Cofradia,2019,July,0
Dakila,2019,July,0
Guinhawa,2019,July,0
