Barangay,Year,Month,Cases
Caingin,2016,May,0
Calero,2016,May,0
Caliligawan,2016,May,0
Canalate,2016,May,0
Caniogan,2016,May,0
Catmon,2016,May,0
Cofradia,2016,May,0
Dakila,2016,May,0
Guinhawa,2016,May,0
Liang,2016,May,0
Ligas,2016,May,1
Longos,2016,May,1
Look 1St,2016,May,0
Look 2Nd,2016,May,0
Lugam,2016,May,0
Mabolo,2016,May,0
Mambog,2016,May,0
Masile,2016,May,0
Matimbo,2016,May,0
Mojon,2016,May,0
Namayan,2016,May,0
Niugan,2016,May,0
Pamarawan,2016,May,0
Panasahan,2016,May,0
Pinagbakahan,2016,May,0
San Agustin,2016,May,0
San Gabriel,2016,May,0
San Juan,2016,May,0
San Pablo,2016,May,0
San Vicente,2016,May,0
Santiago,2016,May,0
Santisima Trinidad,2016,May,0
Santo Cristo,2016,May,0
Santo Niño,2016,May,0
Santo Rosario,2016,May,0
Santor,2016,May,0
Sumapang Bata,2016,May,0
Sumapang Matanda,2016,May,0
Taal,2016,May,0
Tikay,2016,May,0
Anilao,2016,June,0
Atlag,2016,June,1
Babatnin,2016,June,0
Bagna,2016,June,0
Bagong Bayan,2016,June,0
Balayong,2016,June,0
Balite,2016,June,1
Bangkal,2016,June,0
Barihan,2016,June,0
Bulihan,2016,June,0
Bungahan,2016,June,0
Caingin,2016,June,0
Calero,2016,June,0
Caliligawan,2016,June,0
Canalate,2016,June,0
Caniogan,2016,June,0
Catmon,2016,June,0
Cofradia,2016,June,0
Dakila,2016,June,0
Guinhawa,2016,June,0
Liang,2016,June,0
Ligas,2016,June,0
Longos,2016,June,0
Look 1St,2016,June,0
Look 2Nd,2016,June,0
Lugam,2016,June,0
Mabolo,2016,June,0
Mambog,2016,June,0
Masile,2016,June,0
Matimbo,2016,June,0
Mojon,2016,June,0
Namayan,2016,June,0
Niugan,2016,June,0
Pamarawan,2016,June,0
Panasahan,2016,June,0
Pinagbakahan,2016,June,0
San Agustin,2016,June,0
San Gabriel,2016,June,0
San Juan,2016,June,0
San Pablo,2016,June,0
San Vicente,2016,June,0
Santiago,2016,June,0
Santisima Trinidad,2016,June,0
Santo Cristo,2016,June,0
Santo Niño,2016,June,0
Santo Rosario,2016,June,0
Santor,2016,June,0
Sumapang Bata,2016,June,0
Sumapang Matanda,2016,June,0
Taal,2016,June,0
Tikay,2016,June,0
Anilao,2016,July,0
Atlag,2016,July,2
Babatnin,2016,July,0
Bagna,2016,July,0
Bagong Bayan,2016,July,0
Balayong,2016,July,3
Balite,2016,July,4
Bangkal,2016,July,2
Barihan,2016,July,1
Bulihan,2016,July,2
Bungahan,2016,July,0
Caingin,2016,July,0
Calero,2016,July,0
Caliligawan,2016,July,0
Canalate,2016,July,1
Caniogan,2016,July,2
Catmon,2016,July,0
Cofradia,2016,July,0
Dakila,2016,July,1
Guinhawa,2016,July,0
Liang,2016,July,0
Ligas,2016,July,0
Longos,2016,July,1
Look 1St,2016,July,0
Look 2Nd,2016,July,0
Lugam,2016,July,0
Mabolo,2016,July,1
Mambog,2016,July,0
Masile,2016,July,0
Matimbo,2016,July,2
Mojon,2016,July,1
Namayan,2016,July,1
Niugan,2016,July,0
Pamarawan,2016,July,0
Panasahan,2016,July,0
Pinagbakahan,2016,July,1
San Agustin,2016,July,0
San Gabriel,2016,July,0
San Juan,2016,July,0
San Pablo,2016,July,0
San Vicente,2016,July,0
Santiago,2016,July,0
Santisima Trinidad,2016,July,0
Santo Cristo,2016,July,1
Santo Niño,2016,July,0
Santo Rosario,2016,July,0
Santor,2016,July,2
Sumapang Bata,2016,July,0
Sumapang Matanda,2016,July,1
Taal,2016,July,0
Tikay,2016,July,0
Anilao,2016,August,2
Atlag,2016,August,1
Babatnin,2016,August,0
Bagna,2016,August,2
Bagong Bayan,2016,August,1
Balayong,2016,August,4
Balite,2016,August,3
Bangkal,2016,August,0
Barihan,2016,August,7
Bulihan,2016,August,3
Bungahan,2016,August,1
Caingin,2016,August,5
Calero,2016,August,0
Caliligawan,2016,August,0
Canalate,2016,August,0
Caniogan,2016,August,1
Catmon,2016,August,1
Cofradia,2016,August,1
Dakila,2016,August,0
Guinhawa,2016,August,0
Liang,2016,August,0
Ligas,2016,August,1
Longos,2016,August,1
Look 1St,2016,August,1
Look 2Nd,2016,August,1
Lugam,2016,August,0
Mabolo,2016,August,2
Mambog,2016,August,3
Masile,2016,August,0
Matimbo,2016,August,4
Mojon,2016,August,8
Namayan,2016,August,0
Niugan,2016,August,0
Pamarawan,2016,August,1
Panasahan,2016,August,0
Pinagbakahan,2016,August,1
San Agustin,2016,August,1
San Gabriel,2016,August,0
San Juan,2016,August,2
San Pablo,2016,August,0
San Vicente,2016,August,0
Santiago,2016,August,0
Santisima Trinidad,2016,August,0
Santo Cristo,2016,August,0
Santo Niño,2016,August,0
Santo Rosario,2016,August,1
Santor,2016,August,0
Sumapang Bata,2016,August,0
Sumapang Matanda,2016,August,1
Taal,2016,August,1
Tikay,2016,August,6
Anilao,2016,September,0
Atlag,2016,September,1
Babatnin,2016,September,0
Bagna,2016,September,1
Bagong Bayan,2016,September,0
Balayong,2016,September,1
Balite,2016,September,2
Bangkal,2016,September,0
Barihan,2016,September,9
Bulihan,2016,September,4
Bungahan,2016,September,1
Caingin,2016,September,0
Calero,2016,September,2
Caliligawan,2016,September,0
Canalate,2016,September,0
Caniogan,2016,September,2
Catmon,2016,September,0
Cofradia,2016,September,1
Dakila,2016,September,0
Guinhawa,2016,September,1
Liang,2016,September,0
Ligas,2016,September,3
Longos,2016,September,3
Look 1St,2016,September,1
Look 2Nd,2016,September,2
Lugam,2016,September,1
Mabolo,2016,September,1
Mambog,2016,September,0
Masile,2016,September,0
Matimbo,2016,September,7
Mojon,2016,September,8
Namayan,2016,September,1
Niugan,2016,September,0
Pamarawan,2016,September,0
Panasahan,2016,September,0
Pinagbakahan,2016,September,0
San Agustin,2016,September,1
San Gabriel,2016,September,0
San Juan,2016,September,0
San Pablo,2016,September,1
San Vicente,2016,September,1
Santiago,2016,September,0
Santisima Trinidad,2016,September,2
Santo Cristo,2016,September,0
Santo Niño,2016,September,0
Santo Rosario,2016,September,0
Santor,2016,September,1
Sumapang Bata,2016,September,0
Sumapang Matanda,2016,September,1
Taal,2016,September,0
Tikay,2016,September,2
Anilao,2016,October,0
Atlag,2016,October,3
Babatnin,2016,October,0
Bagna,2016,October,0
Bagong Bayan,2016,October,2
Balayong,2016,October,0
Balite,2016,October,0
Bangkal,2016,October,0
Barihan,2016,October,2
Bulihan,2016,October,4
Bungahan,2016,October,0
Caingin,2016,October,3
Calero,2016,October,0
Caliligawan,2016,October,0
Canalate,2016,October,0
Caniogan,2016,October,0
Catmon,2016,October,0
Cofradia,2016,October,0
Dakila,2016,October,0
Guinhawa,2016,October,0
Liang,2016,October,0
Ligas,2016,October,2
Longos,2016,October,5
Look 1St,2016,October,1
Look 2Nd,2016,October,0
Lugam,2016,October,0
Mabolo,2016,October,0
Mambog,2016,October,0
Masile,2016,October,0
Matimbo,2016,October,0
Mojon,2016,October,1
Namayan,2016,October,0
Niugan,2016,October,0
Pamarawan,2016,October,0
Panasahan,2016,October,2
Pinagbakahan,2016,October,1
San Agustin,2016,October,1
San Gabriel,2016,October,0
San Juan,2016,October,1
San Pablo,2016,October,4
San Vicente,2016,October,0
Santiago,2016,October,0
Santisima Trinidad,2016,October,0
Santo Cristo,2016,October,1
Santo Niño,2016,October,0
Santo Rosario,2016,October,0
Santor,2016,October,0
Sumapang Bata,2016,October,0
Sumapang Matanda,2016,October,3
Taal,2016,October,0
Tikay,2016,October,0
Anilao,2016,November,0
Atlag,2016,November,0
Babatnin,2016,November,0
Bagna,2016,November,1
Bagong Bayan,2016,November,0
Balayong,2016,November,0
Balite,2016,November,0
Bangkal,2016,November,0
Barihan,2016,November,0
Bulihan,2016,November,3
Bungahan,2016,November,0
Caingin,2016,November,1
Calero,2016,November,0
Caliligawan,2016,November,0
Canalate,2016,November,0
Caniogan,2016,November,0
Catmon,2016,November,0
Cofradia,2016,November,0
Dakila,2016,November,0
Guinhawa,2016,November,0
Liang,2016,November,0
Ligas,2016,November,0
Longos,2016,November,1
Look 1St,2016,November,0
Look 2Nd,2016,November,0
Lugam,2016,November,0
Mabolo,2016,November,0
Mambog,2016,November,0
Masile,2016,November,0
Matimbo,2016,November,0
Mojon,2016,November,1
Namayan,2016,November,0
Niugan,2016,November,0
Pamarawan,2016,November,0
Panasahan,2016,November,2
Pinagbakahan,2016,November,1
San Agustin,2016,November,0
San Gabriel,2016,November,0
San Juan,2016,November,0
San Pablo,2016,November,1
San Vicente,2016,November,0
Santiago,2016,November,0
Santisima Trinidad,2016,November,1
Santo Cristo,2016,November,0
Santo Niño,2016,November,0
Santo Rosario,2016,November,0
Santor,2016,November,0
Sumapang Bata,2016,November,0
Sumapang Matanda,2016,November,0
Taal,2016,November,0
Tikay,2016,November,0
Anilao,2016,December,0
Atlag,2016,December,0
Babatnin,2016,December,0
Bagna,2016,December,1
Bagong Bayan,2016,December,0
Balayong,2016,December,0
Balite,2016,December,0
Bangkal,2016,December,0
Barihan,2016,December,0
Bulihan,2016,December,2
Bungahan,2016,December,0
Caingin,2016,December,1
Calero,2016,December,0
Caliligawan,2016,December,0
Canalate,2016,December,0
Caniogan,2016,December,0
Catmon,2016,December,0
Cofradia,2016,December,0
Dakila,2016,December,2
Guinhawa,2016,December,0
Liang,2016,December,0
Ligas,2016,December,2
Longos,2016,December,2
Look 1St,2016,December,2
Look 2Nd,2016,December,0
Lugam,2016,December,2
Mabolo,2016,December,0
Mambog,2016,December,0
Masile,2016,December,0
Matimbo,2016,December,1
Mojon,2016,December,5
Namayan,2016,December,0
Niugan,2016,December,0
Pamarawan,2016,December,0
Panasahan,2016,December,1
Pinagbakahan,2016,December,0
San Agustin,2016,December,0
San Gabriel,2016,December,0
San Juan,2016,December,0
San Pablo,2016,December,0
San Vicente,2016,December,0
Santiago,2016,December,0
Santisima Trinidad,2016,December,1
Santo Cristo,2016,December,0
Santo Niño,2016,December,0
Santo Rosario,2016,December,0
Santor,2016,December,1
Sumapang Bata,2016,December,0
Sumapang Matanda,2016,December,3
Taal,2016,December,0
Tikay,2016,December,3
Anilao,2017,January,0
Atlag,2017,January,4
Babatnin,2017,January,0
Bagna,2017,January,2
Bagong Bayan,2017,January,0
Balayong,2017,January,0
Balite,2017,January,1
Bangkal,2017,January,2
Barihan,2017,January,0
Bulihan,2017,January,2
Bungahan,2017,January,1
Caingin,2017,January,3
Calero,2017,January,0
Caliligawan,2017,January,1
Canalate,2017,January,1
Caniogan,2017,January,1
Catmon,2017,January,1
Cofradia,2017,January,0
Dakila,2017,January,0
Guinhawa,2017,January,0
Liang,2017,January,0
Ligas,2017,January,0
Longos,2017,January,1
Look 1St,2017,January,10
Look 2Nd,2017,January,0
Lugam,2017,January,3
Mabolo,2017,January,1
Mambog,2017,January,0
Masile,2017,January,0
Matimbo,2017,January,2
Mojon,2017,January,7
Namayan,2017,January,0
Niugan,2017,January,0
Pamarawan,2017,January,0
Panasahan,2017,January,0
Pinagbakahan,2017,January,3
San Agustin,2017,January,0
San Gabriel,2017,January,0
San Juan,2017,January,2
San Pablo,2017,January,4
San Vicente,2017,January,0
Santiago,2017,January,0
Santisima Trinidad,2017,January,2
Santo Cristo,2017,January,0
Santo Niño,2017,January,0
Santo Rosario,2017,January,1
Santor,2017,January,0
Sumapang Bata,2017,January,0
Sumapang Matanda,2017,January,1
Taal,2017,January,0
Tikay,2017,January,6
Anilao,2017,February,0
Atlag,2017,February,1
Babatnin,2017,February,0
Bagna,2017,February,0
Bagong Bayan,2017,February,0
Balayong,2017,February,0
Balite,2017,February,2
Bangkal,2017,February,0
Barihan,2017,February,0
Bulihan,2017,February,4
Bungahan,2017,February,0
Caingin,2017,February,2
Calero,2017,February,0
Caliligawan,2017,February,0
Canalate,2017,February,1
Caniogan,2017,February,2
Catmon,2017,February,0
Cofradia,2017,February,1
Dakila,2017,February,0
Guinhawa,2017,February,0
Liang,2017,February,0
Ligas,2017,February,0
Longos,2017,February,7
Look 1St,2017,February,1
Look 2Nd,2017,February,0
Lugam,2017,February,0
Mabolo,2017,February,0
Mambog,2017,February,0
Masile,2017,February,0
Matimbo,2017,February,0
Mojon,2017,February,2
Namayan,2017,February,0
Niugan,2017,February,0
Pamarawan,2017,February,0
Panasahan,2017,February,0
Pinagbakahan,2017,February,1
San Agustin,2017,February,0
San Gabriel,2017,February,0
San Juan,2017,February,0
San Pablo,2017,February,0
San Vicente,2017,February,2
Santiago,2017,February,0
Santisima Trinidad,2017,February,1
Santo Cristo,2017,February,0
Santo Niño,2017,February,0
Santo Rosario,2017,February,2
Santor,2017,February,0
Sumapang Bata,2017,February,0
Sumapang Matanda,2017,February,1
Taal,2017,February,0
Tikay,2017,February,1
Anilao,2017,March,1
Atlag,2017,March,0
Babatnin,2017,March,0
Bagna,2017,March,1
Bagong Bayan,2017,March,1
Balayong,2017,March,0
Balite,2017,March,1
Bangkal,2017,March,2
Barihan,2017,March,0
Bulihan,2017,March,2
Bungahan,2017,March,0
Caingin,2017,March,0
Calero,2017,March,0
Caliligawan,2017,March,0
Canalate,2017,March,0
Caniogan,2017,March,0
Catmon,2017,March,0
Cofradia,2017,March,0
Dakila,2017,March,0
Guinhawa,2017,March,0
Liang,2017,March,0
Ligas,2017,March,0
Longos,2017,March,1
Look 1St,2017,March,0
Look 2Nd,2017,March,0
Lugam,2017,March,0
Mabolo,2017,March,0
Mambog,2017,March,0
Masile,2017,March,0
Matimbo,2017,March,1
Mojon,2017,March,4
Namayan,2017,March,0
Niugan,2017,March,0
Pamarawan,2017,March,0
Panasahan,2017,March,0
Pinagbakahan,2017,March,0
San Agustin,2017,March,0
San Gabriel,2017,March,0
San Juan,2017,March,0
San Pablo,2017,March,0
San Vicente,2017,March,1
Santiago,2017,March,0
Santisima Trinidad,2017,March,2
Santo Cristo,2017,March,0
Santo Niño,2017,March,0
Santo Rosario,2017,March,1
Santor,2017,March,0
Sumapang Bata,2017,March,0
Sumapang Matanda,2017,March,0
Taal,2017,March,1
Tikay,2017,March,0
Anilao,2017,April,0
Atlag,2017,April,0
Babatnin,2017,April,0
Bagna,2017,April,1
Bagong Bayan,2017,April,0
Balayong,2017,April,0
Balite,2017,April,0
Bangkal,2017,April,0
Barihan,2017,April,0
Bulihan,2017,April,0
Bungahan,2017,April,0
Caingin,2017,April,0
Calero,2017,April,0
Caliligawan,2017,April,0
Canalate,2017,April,1
Caniogan,2017,April,0
Catmon,2017,April,0
Cofradia,2017,April,0
Dakila,2017,April,0
Guinhawa,2017,April,0
Liang,2017,April,0
Ligas,2017,April,0
Longos,2017,April,0
Look 1St,2017,April,0
Look 2Nd,2017,April,0
Lugam,2017,April,1
Mabolo,2017,April,0
Mambog,2017,April,0
Masile,2017,April,0
Matimbo,2017,April,0
Mojon,2017,April,2
Namayan,2017,April,0
Niugan,2017,April,0
Pamarawan,2017,April,0
Panasahan,2017,April,0
Pinagbakahan,2017,April,0
San Agustin,2017,April,0
San Gabriel,2017,April,0
San Juan,2017,April,0
San Pablo,2017,April,0
San Vicente,2017,April,0
Santiago,2017,April,0
Santisima Trinidad,2017,April,0
Santo Cristo,2017,April,1
Santo Niño,2017,April,0
Santo Rosario,2017,April,0
Santor,2017,April,0
Sumapang Bata,2017,April,0
Sumapang Matanda,2017,April,0
Taal,2017,April,0
Tikay,2017,April,0
Anilao,2017,May,0
Atlag,2017,May,0
Babatnin,2017,May,0
Bagna,2017,May,0
Bagong Bayan,2017,May,0
Balayong,2017,May,0
Balite,2017,May,1
Bangkal,2017,May,0
Barihan,2017,May,0
Bulihan,2017,May,5
Bungahan,2017,May,0
Caingin,2017,May,0
Calero,2017,May,0
Caliligawan,2017,May,0
Canalate,2017,May,0
Caniogan,2017,May,0
Catmon,2017,May,0
Cofradia,2017,May,0
Dakila,2017,May,0
Guinhawa,2017,May,0
Liang,2017,May,0
Ligas,2017,May,0
Longos,2017,May,1
Look 1St,2017,May,0
Look 2Nd,2017,May,0
Lugam,2017,May,0
Mabolo,2017,May,0
Mambog,2017,May,0
Masile,2017,May,0
Matimbo,2017,May,0
Mojon,2017,May,0
Namayan,2017,May,0
Niugan,2017,May,0
Pamarawan,2017,May,0
Panasahan,2017,May,0
Pinagbakahan,2017,May,0
San Agustin,2017,May,0
San Gabriel,2017,May,0
San Juan,2017,May,0
San Pablo,2017,May,0
San Vicente,2017,May,0
Santiago,2017,May,0
Santisima Trinidad,2017,May,0
Santo Cristo,2017,May,0
Santo Niño,2017,May,0
Santo Rosario,2017,May,0
Santor,2017,May,0
Sumapang Bata,2017,May,0
Sumapang Matanda,2017,May,0
Taal,2017,May,0
Tikay,2017,May,0
Anilao,2017,June,0
Atlag,2017,June,0
Babatnin,2017,June,0
Bagna,2017,June,0
Bagong Bayan,2017,June,0
Balayong,2017,June,0
Balite,2017,June,0
Bangkal,2017,June,1
Barihan,2017,June,0
Bulihan,2017,June,3
Bungahan,2017,June,0
Caingin,2017,June,0
Calero,2017,June,0
Caliligawan,2017,June,0
Canalate,2017,June,0
Caniogan,2017,June,0
Catmon,2017,June,0
Cofradia,2017,June,0
Dakila,2017,June,3
Guinhawa,2017,June,0
Liang,2017,June,0
Ligas,2017,June,0
Longos,2017,June,0
Look 1St,2017,June,0
Look 2Nd,2017,June,0
Lugam,2017,June,0
Mabolo,2017,June,1
Mambog,2017,June,0
Masile,2017,June,0
Matimbo,2017,June,1
Mojon,2017,June,0
Namayan,2017,June,0
Niugan,2017,June,0
Pamarawan,2017,June,0
Panasahan,2017,June,0
Pinagbakahan,2017,June,0
San Agustin,2017,June,0
San Gabriel,2017,June,0
San Juan,2017,June,0
San Pablo,2017,June,0
San Vicente,2017,June,0
Santiago,2017,June,0
Santisima Trinidad,2017,June,0
Santo Cristo,2017,June,0
Santo Niño,2017,June,0
Santo Rosario,2017,June,0
Santor,2017,June,1
Sumapang Bata,2017,June,0
Sumapang Matanda,2017,June,2
Taal,2017,June,0
Tikay,2017,June,0
Anilao,2017,July,0
Atlag,2017,July,0
Babatnin,2017,July,0
Bagna,2017,July,0
Bagong Bayan,2017,July,0
Balayong,2017,July,0
Balite,2017,July,2
Bangkal,2017,July,0
Barihan,2017,July,0
Bulihan,2017,July,14
Bungahan,2017,July,0
Caingin,2017,July,0
Calero,2017,July,0
Caliligawan,2017,July,0
Canalate,2017,July,1
Caniogan,2017,July,1
Catmon,2017,July,2
Cofradia,2017,July,2
Dakila,2017,July,3
Guinhawa,2017,July,1
Liang,2017,July,0
Ligas,2017,July,0
Longos,2017,July,3
Look 1St,2017,July,2
Look 2Nd,2017,July,1
Lugam,2017,July,1
Mabolo,2017,July,2
Mambog,2017,July,0
Masile,2017,July,0
Matimbo,2017,July,5
Mojon,2017,July,5
Namayan,2017,July,0
Niugan,2017,July,1
Pamarawan,2017,July,0
Panasahan,2017,July,0
Pinagbakahan,2017,July,1
San Agustin,2017,July,2
San Gabriel,2017,July,2
San Juan,2017,July,0
San Pablo,2017,July,0
San Vicente,2017,July,1
Santiago,2017,July,0
Santisima Trinidad,2017,July,2
Santo Cristo,2017,July,0
Santo Niño,2017,July,0
Santo Rosario,2017,July,1
Santor,2017,July,0
Sumapang Bata,2017,July,0
Sumapang Matanda,2017,July,1
Taal,2017,July,1
Tikay,2017,July,4
Anilao,2017,August,4
Atlag,2017,August,0
Babatnin,2017,August,0
Bagna,2017,August,1
Bagong Bayan,2017,August,2
Balayong,2017,August,1
Balite,2017,August,2
Bangkal,2017,August,2
Barihan,2017,August,2
Bulihan,2017,August,12
Bungahan,2017,August,2
Caingin,2017,August,3
Calero,2017,August,0
Caliligawan,2017,August,0
Canalate,2017,August,3
Caniogan,2017,August,3
Catmon,2017,August,2
Cofradia,2017,August,0
Dakila,2017,August,2
Guinhawa,2017,August,0
Liang,2017,August,0
Ligas,2017,August,3
Longos,2017,August,10
Look 1St,2017,August,4
Look 2Nd,2017,August,0
Lugam,2017,August,0
Mabolo,2017,August,2
Mambog,2017,August,1
Masile,2017,August,0
Matimbo,2017,August,5
Mojon,2017,August,9
Namayan,2017,August,0
Niugan,2017,August,0
Pamarawan,2017,August,0
Panasahan,2017,August,0
Pinagbakahan,2017,August,2
San Agustin,2017,August,5
San Gabriel,2017,August,0
San Juan,2017,August,0
San Pablo,2017,August,1
